NAME                INSTALLED                     FIXED IN                 TYPE  VULNERABILITY   SEVERITY    EPSS           RISK          
procps              2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1126   Medium      0.3% (53rd)    0.2           
libcryptsetup4      2:1.6.6-5ubuntu2.1                                     deb   CVE-2016-4484   Low         0.5% (64th)    0.1           
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6780   Medium      0.3% (50th)    0.1           
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6780   Medium      0.3% (50th)    0.1           
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6780   Medium      0.3% (50th)    0.1           
gcc-5-base          5.4.0-6ubuntu1~16.04.6        (won't fix)              deb   CVE-2021-3826   Low         0.4% (61st)    0.1           
gcc-6-base          6.0.1-0ubuntu1                (won't fix)              deb   CVE-2021-3826   Low         0.4% (61st)    0.1           
libgcc1             1:6.0.1-0ubuntu1              (won't fix)              deb   CVE-2021-3826   Low         0.4% (61st)    0.1           
libstdc++6          5.4.0-6ubuntu1~16.04.6        (won't fix)              deb   CVE-2021-3826   Low         0.4% (61st)    0.1           
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2022-2526   Medium      0.2% (47th)    0.1           
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2022-2526   Medium      0.2% (47th)    0.1           
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2022-2526   Medium      0.2% (47th)    0.1           
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2022-2526   Medium      0.2% (47th)    0.1           
tar                 1.28-2.1ubuntu0.1             1.28-2.1ubuntu0.2        deb   CVE-2019-9923   Low         0.4% (60th)    0.1           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2020-1751   Medium      0.2% (47th)    0.1           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2020-1751   Medium      0.2% (47th)    0.1           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2020-1751   Medium      0.2% (47th)    0.1           
libc-bin            2.23-0ubuntu10                                         deb   CVE-2022-23219  Low         0.4% (60th)    0.1           
libc6               2.23-0ubuntu10                                         deb   CVE-2022-23219  Low         0.4% (60th)    0.1           
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2022-23219  Low         0.4% (60th)    0.1           
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2018-19217  Low         0.4% (60th)    0.1           
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2018-19217  Low         0.4% (60th)    0.1           
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2018-19217  Low         0.4% (60th)    0.1           
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2018-19217  Low         0.4% (60th)    0.1           
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2018-19217  Low         0.4% (60th)    0.1           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-4304   Medium      0.2% (46th)    0.1           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-4304   Medium      0.2% (46th)    0.1           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0465   Low         0.4% (59th)    0.1           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0465   Low         0.4% (59th)    0.1           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2017-12133  Low         0.4% (58th)    0.1           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2017-12133  Low         0.4% (58th)    0.1           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2017-12133  Low         0.4% (58th)    0.1           
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16864  High        0.1% (35th)    0.1           
libudev1            229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16864  High        0.1% (35th)    0.1           
systemd             229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16864  High        0.1% (35th)    0.1           
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16864  High        0.1% (35th)    0.1           
gcc-5-base          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2020-23026  Low         0.3% (55th)    0.1           
gcc-6-base          6.0.1-0ubuntu1                                         deb   CVE-2020-23026  Low         0.3% (55th)    0.1           
libgcc1             1:6.0.1-0ubuntu1                                       deb   CVE-2020-23026  Low         0.3% (55th)    0.1           
libstdc++6          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2020-23026  Low         0.3% (55th)    0.1           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-3817   Low         0.3% (54th)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-3817   Low         0.3% (54th)    < 0.1         
perl-base           5.22.1-9ubuntu0.2             (won't fix)              deb   CVE-2021-36770  Medium      0.2% (40th)    < 0.1         
libpcre3            2:8.38-3.1                                             deb   CVE-2019-20838  Low         0.3% (53rd)    < 0.1         
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4813   Low         0.3% (53rd)    < 0.1         
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4813   Low         0.3% (53rd)    < 0.1         
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4813   Low         0.3% (53rd)    < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10                                     deb   CVE-2021-4160   Low         0.3% (52nd)    < 0.1         
openssl             1.0.2g-1ubuntu4.10                                     deb   CVE-2021-4160   Low         0.3% (52nd)    < 0.1         
apt                 1.2.25                        1.2.32ubuntu0.2          deb   CVE-2020-27350  Medium      0.2% (38th)    < 0.1         
libapt-pkg5.0       1.2.25                        1.2.32ubuntu0.2          deb   CVE-2020-27350  Medium      0.2% (38th)    < 0.1         
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2018-19211  Low         0.3% (50th)    < 0.1         
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2018-19211  Low         0.3% (50th)    < 0.1         
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2018-19211  Low         0.3% (50th)    < 0.1         
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2018-19211  Low         0.3% (50th)    < 0.1         
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2018-19211  Low         0.3% (50th)    < 0.1         
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2023-7008   Low         0.3% (49th)    < 0.1         
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2023-7008   Low         0.3% (49th)    < 0.1         
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2023-7008   Low         0.3% (49th)    < 0.1         
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2023-7008   Low         0.3% (49th)    < 0.1         
gcc-5-base          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2021-46195  Low         0.3% (49th)    < 0.1         
gcc-6-base          6.0.1-0ubuntu1                                         deb   CVE-2021-46195  Low         0.3% (49th)    < 0.1         
libgcc1             1:6.0.1-0ubuntu1                                       deb   CVE-2021-46195  Low         0.3% (49th)    < 0.1         
libstdc++6          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2021-46195  Low         0.3% (49th)    < 0.1         
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.3        deb   CVE-2016-6185   Low         0.2% (47th)    < 0.1         
libc-bin            2.23-0ubuntu10                                         deb   CVE-2017-12132  Low         0.2% (47th)    < 0.1         
libc6               2.23-0ubuntu10                                         deb   CVE-2017-12132  Low         0.2% (47th)    < 0.1         
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2017-12132  Low         0.2% (47th)    < 0.1         
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-25139  Medium      0.1% (35th)    < 0.1         
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-25139  Medium      0.1% (35th)    < 0.1         
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-25139  Medium      0.1% (35th)    < 0.1         
libgcrypt20         1.6.5-2ubuntu0.3              1.6.5-2ubuntu0.5         deb   CVE-2018-0495   Low         0.2% (45th)    < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.13       deb   CVE-2018-0495   Low         0.2% (45th)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.13       deb   CVE-2018-0495   Low         0.2% (45th)    < 0.1         
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.3         deb   CVE-2009-5155   Negligible  1.4% (79th)    < 0.1         
libc6               2.23-0ubuntu10                2.23-0ubuntu11.3         deb   CVE-2009-5155   Negligible  1.4% (79th)    < 0.1         
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.3         deb   CVE-2009-5155   Negligible  1.4% (79th)    < 0.1         
libc-bin            2.23-0ubuntu10                                         deb   CVE-2021-3326   Low         0.2% (45th)    < 0.1         
libc6               2.23-0ubuntu10                                         deb   CVE-2021-3326   Low         0.2% (45th)    < 0.1         
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2021-3326   Low         0.2% (45th)    < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2024-0727   Low         0.2% (45th)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2024-0727   Low         0.2% (45th)    < 0.1         
liblz4-1            0.0~r131-2ubuntu2                                      deb   CVE-2021-3520   Medium      0.1% (33rd)    < 0.1         
bash                4.3-14ubuntu1.2               4.3-14ubuntu1.4          deb   CVE-2019-9924   Low         0.2% (44th)    < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-4450   Medium      0.1% (33rd)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-4450   Medium      0.1% (33rd)    < 0.1         
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31437  Medium      0.1% (33rd)    < 0.1         
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31437  Medium      0.1% (33rd)    < 0.1         
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31437  Medium      0.1% (33rd)    < 0.1         
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31437  Medium      0.1% (33rd)    < 0.1         
bsdutils            1:2.27.1-6ubuntu3.4                                    deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
libblkid1           2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
libfdisk1           2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
libmount1           2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
libsmartcols1       2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
libuuid1            2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
mount               2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
util-linux          2.27.1-6ubuntu3.4                                      deb   CVE-2016-5011   Low         0.2% (42nd)    < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.16         deb   CVE-2019-6454   Medium      0.1% (31st)    < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.16         deb   CVE-2019-6454   Medium      0.1% (31st)    < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.16         deb   CVE-2019-6454   Medium      0.1% (31st)    < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.16         deb   CVE-2019-6454   Medium      0.1% (31st)    < 0.1         
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2021-33910  High        < 0.1% (24th)  < 0.1         
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2021-33910  High        < 0.1% (24th)  < 0.1         
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2021-33910  High        < 0.1% (24th)  < 0.1         
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2021-33910  High        < 0.1% (24th)  < 0.1         
wget                1.17.1-1ubuntu1.3                                      deb   CVE-2021-31879  Medium      0.1% (30th)    < 0.1         
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2017-10685  Negligible  1.1% (77th)    < 0.1         
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2017-10685  Negligible  1.1% (77th)    < 0.1         
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2017-10685  Negligible  1.1% (77th)    < 0.1         
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2017-10685  Negligible  1.1% (77th)    < 0.1         
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2017-10685  Negligible  1.1% (77th)    < 0.1         
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2020-1752   Low         0.2% (40th)    < 0.1         
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2020-1752   Low         0.2% (40th)    < 0.1         
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2020-1752   Low         0.2% (40th)    < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-2975   Low         0.2% (40th)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-2975   Low         0.2% (40th)    < 0.1         
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.9        deb   CVE-2020-12723  Low         0.2% (40th)    < 0.1         
login               1:4.2-3.1ubuntu5.3                                     deb   CVE-2018-7169   Low         0.2% (40th)    < 0.1         
passwd              1:4.2-3.1ubuntu5.3                                     deb   CVE-2018-7169   Low         0.2% (40th)    < 0.1         
gcc-5-base          5.4.0-6ubuntu1~16.04.6        (won't fix)              deb   CVE-2023-4039   Low         0.2% (40th)    < 0.1         
gcc-6-base          6.0.1-0ubuntu1                (won't fix)              deb   CVE-2023-4039   Low         0.2% (40th)    < 0.1         
libgcc1             1:6.0.1-0ubuntu1              (won't fix)              deb   CVE-2023-4039   Low         0.2% (40th)    < 0.1         
libstdc++6          5.4.0-6ubuntu1~16.04.6        (won't fix)              deb   CVE-2023-4039   Low         0.2% (40th)    < 0.1         
dpkg                1.18.4ubuntu1.3                                        deb   CVE-2017-8283   Negligible  1.1% (77th)    < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2020-1712   Medium      0.1% (29th)    < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2020-1712   Medium      0.1% (29th)    < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2020-1712   Medium      0.1% (29th)    < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2020-1712   Medium      0.1% (29th)    < 0.1         
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4527   Medium      0.1% (29th)    < 0.1         
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4527   Medium      0.1% (29th)    < 0.1         
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4527   Medium      0.1% (29th)    < 0.1         
libc-bin            2.23-0ubuntu10                                         deb   CVE-2021-38604  Medium      0.1% (28th)    < 0.1         
libc6               2.23-0ubuntu10                                         deb   CVE-2021-38604  Medium      0.1% (28th)    < 0.1         
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2021-38604  Medium      0.1% (28th)    < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2018-16888  Low         0.2% (38th)    < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2018-16888  Low         0.2% (38th)    < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2018-16888  Low         0.2% (38th)    < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2018-16888  Low         0.2% (38th)    < 0.1         
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31438  Medium      0.1% (28th)    < 0.1         
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31438  Medium      0.1% (28th)    < 0.1         
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31438  Medium      0.1% (28th)    < 0.1         
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31438  Medium      0.1% (28th)    < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16866  Medium      < 0.1% (27th)  < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16866  Medium      < 0.1% (27th)  < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16866  Medium      < 0.1% (27th)  < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16866  Medium      < 0.1% (27th)  < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.21         deb   CVE-2019-3842   Medium      < 0.1% (27th)  < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.21         deb   CVE-2019-3842   Medium      < 0.1% (27th)  < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.21         deb   CVE-2019-3842   Medium      < 0.1% (27th)  < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.21         deb   CVE-2019-3842   Medium      < 0.1% (27th)  < 0.1         
libgcrypt20         1.6.5-2ubuntu0.3              (won't fix)              deb   CVE-2021-40528  Medium      < 0.1% (27th)  < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.16       deb   CVE-2019-1547   Low         0.2% (37th)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.16       deb   CVE-2019-1547   Low         0.2% (37th)    < 0.1         
bsdutils            1:2.27.1-6ubuntu3.4                                    deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
libblkid1           2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
libfdisk1           2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
libmount1           2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
libsmartcols1       2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
libuuid1            2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
mount               2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
util-linux          2.27.1-6ubuntu3.4                                      deb   CVE-2016-2779   Low         0.2% (37th)    < 0.1         
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31439  Medium      < 0.1% (27th)  < 0.1         
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31439  Medium      < 0.1% (27th)  < 0.1         
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31439  Medium      < 0.1% (27th)  < 0.1         
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2023-31439  Medium      < 0.1% (27th)  < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2019-20386  Low         0.2% (36th)    < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2019-20386  Low         0.2% (36th)    < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2019-20386  Low         0.2% (36th)    < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.27         deb   CVE-2019-20386  Low         0.2% (36th)    < 0.1         
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       (won't fix)              deb   CVE-2018-25032  Medium      < 0.1% (26th)  < 0.1         
perl-base           5.22.1-9ubuntu0.2             (won't fix)              deb   CVE-2023-47038  Medium      < 0.1% (26th)  < 0.1         
libc-bin            2.23-0ubuntu10                                         deb   CVE-2021-33574  Low         0.1% (34th)    < 0.1         
libc6               2.23-0ubuntu10                                         deb   CVE-2021-33574  Low         0.1% (34th)    < 0.1         
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2021-33574  Low         0.1% (34th)    < 0.1         
gnupg               1.4.20-1ubuntu3.1                                      deb   CVE-2019-14855  Low         0.1% (34th)    < 0.1         
gpgv                1.4.20-1ubuntu3.1                                      deb   CVE-2019-14855  Low         0.1% (34th)    < 0.1         
gcc-5-base          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2020-13844  Medium      < 0.1% (24th)  < 0.1         
gcc-6-base          6.0.1-0ubuntu1                                         deb   CVE-2020-13844  Medium      < 0.1% (24th)  < 0.1         
libgcc1             1:6.0.1-0ubuntu1                                       deb   CVE-2020-13844  Medium      < 0.1% (24th)  < 0.1         
libstdc++6          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2020-13844  Medium      < 0.1% (24th)  < 0.1         
libc-bin            2.23-0ubuntu10                                         deb   CVE-2010-3192   Negligible  0.8% (73rd)    < 0.1         
libc6               2.23-0ubuntu10                                         deb   CVE-2010-3192   Negligible  0.8% (73rd)    < 0.1         
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2010-3192   Negligible  0.8% (73rd)    < 0.1         
libapparmor1        2.10.95-0ubuntu2.8                                     deb   CVE-2016-1585   Medium      < 0.1% (23rd)  < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-5678   Low         0.1% (32nd)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-5678   Low         0.1% (32nd)    < 0.1         
libpam-modules      1.1.8-3.2ubuntu2              (won't fix)              deb   CVE-2024-22365  Medium      < 0.1% (22nd)  < 0.1         
libpam-modules-bin  1.1.8-3.2ubuntu2              (won't fix)              deb   CVE-2024-22365  Medium      < 0.1% (22nd)  < 0.1         
libpam-runtime      1.1.8-3.2ubuntu2              (won't fix)              deb   CVE-2024-22365  Medium      < 0.1% (22nd)  < 0.1         
libpam0g            1.1.8-3.2ubuntu2              (won't fix)              deb   CVE-2024-22365  Medium      < 0.1% (22nd)  < 0.1         
gcc-5-base          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2017-11671  Low         0.1% (30th)    < 0.1         
gcc-6-base          6.0.1-0ubuntu1                                         deb   CVE-2017-11671  Low         0.1% (30th)    < 0.1         
libgcc1             1:6.0.1-0ubuntu1                                       deb   CVE-2017-11671  Low         0.1% (30th)    < 0.1         
libstdc++6          5.4.0-6ubuntu1~16.04.6                                 deb   CVE-2017-11671  Low         0.1% (30th)    < 0.1         
tar                 1.28-2.1ubuntu0.1             (won't fix)              deb   CVE-2023-39804  Medium      < 0.1% (20th)  < 0.1         
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0466   Negligible  0.7% (70th)    < 0.1         
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0466   Negligible  0.7% (70th)    < 0.1         
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2023-29491  Medium      < 0.1% (20th)  < 0.1         
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2023-29491  Medium      < 0.1% (20th)  < 0.1         
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2023-29491  Medium      < 0.1% (20th)  < 0.1         
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2023-29491  Medium      < 0.1% (20th)  < 0.1         
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2023-29491  Medium      < 0.1% (20th)  < 0.1         
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.9        deb   CVE-2020-10878  Low         0.1% (29th)    < 0.1         
tar                 1.28-2.1ubuntu0.1                                      deb   CVE-2021-20193  Low         0.1% (28th)    < 0.1         
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-5156   Medium      < 0.1% (18th)  < 0.1         
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-5156   Medium      < 0.1% (18th)  < 0.1         
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-5156   Medium      < 0.1% (18th)  < 0.1         
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-6954   Medium      < 0.1% (16th)  < 0.1         
libudev1            229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-6954   Medium      < 0.1% (16th)  < 0.1         
systemd             229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-6954   Medium      < 0.1% (16th)  < 0.1         
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-6954   Medium      < 0.1% (16th)  < 0.1         
libc-bin            2.23-0ubuntu10                                         deb   CVE-2016-10228  Negligible  0.5% (65th)    < 0.1         
libc6               2.23-0ubuntu10                                         deb   CVE-2016-10228  Negligible  0.5% (65th)    < 0.1         
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2016-10228  Negligible  0.5% (65th)    < 0.1         
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       (won't fix)              deb   CVE-2022-42800  Medium      < 0.1% (15th)  < 0.1         
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2017-13730  Negligible  0.5% (64th)    < 0.1         
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2017-13732  Negligible  0.5% (64th)    < 0.1         
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2017-13733  Negligible  0.5% (64th)    < 0.1         
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2017-13730  Negligible  0.5% (64th)    < 0.1         
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2017-13732  Negligible  0.5% (64th)    < 0.1         
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2017-13733  Negligible  0.5% (64th)    < 0.1         
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2017-13730  Negligible  0.5% (64th)    < 0.1         
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2017-13732  Negligible  0.5% (64th)    < 0.1         
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2017-13733  Negligible  0.5% (64th)    < 0.1         
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2017-13730  Negligible  0.5% (64th)    < 0.1         
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2017-13732  Negligible  0.5% (64th)    < 0.1         
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2017-13733  Negligible  0.5% (64th)    < 0.1         
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2017-13730  Negligible  0.5% (64th)    < 0.1         
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2017-13732  Negligible  0.5% (64th)    < 0.1         
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2017-13733  Negligible  0.5% (64th)    < 0.1         
perl-base           5.22.1-9ubuntu0.2             (won't fix)              deb   CVE-2020-16156  Medium      < 0.1% (14th)  < 0.1         
