NAME                     INSTALLED                          FIXED IN                           TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libgssapi-krb5-2         1.15-1+deb9u1                                                         deb   CVE-2017-15088    Negligible  4.0% (87th)    0.2           
libk5crypto3             1.15-1+deb9u1                                                         deb   CVE-2017-15088    Negligible  4.0% (87th)    0.2           
libkrb5-3                1.15-1+deb9u1                                                         deb   CVE-2017-15088    Negligible  4.0% (87th)    0.2           
libkrb5support0          1.15-1+deb9u1                                                         deb   CVE-2017-15088    Negligible  4.0% (87th)    0.2           
libjpeg62-turbo          1:1.5.1-2                          1:1.5.1-2+deb9u1                   deb   CVE-2018-14498    Medium      0.4% (59th)    0.2           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2016-10228    Low         0.6% (69th)    0.2           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2016-10228    Low         0.6% (69th)    0.2           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2016-10228    Low         0.6% (69th)    0.2           
libtiff5                 4.0.8-2+deb9u5                     4.0.8-2+deb9u6                     deb   CVE-2020-35523    High        0.3% (48th)    0.2           
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u15                   deb   CVE-2021-22924    Low         0.6% (69th)    0.2           
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u15                   deb   CVE-2021-22924    Low         0.6% (69th)    0.2           
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u13                   deb   CVE-2020-8286     High        0.2% (46th)    0.2           
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u13                   deb   CVE-2020-8286     High        0.2% (46th)    0.2           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-1751     High        0.2% (46th)    0.2           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-1751     High        0.2% (46th)    0.2           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-1751     High        0.2% (46th)    0.2           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-3326     High        0.2% (45th)    0.2           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-3326     High        0.2% (45th)    0.2           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-3326     High        0.2% (45th)    0.2           
e2fslibs                 1.43.4-2                           1.43.4-2+deb9u1                    deb   CVE-2019-5094     Medium      0.3% (55th)    0.2           
e2fsprogs                1.43.4-2                           1.43.4-2+deb9u1                    deb   CVE-2019-5094     Medium      0.3% (55th)    0.2           
libcomerr2               1.43.4-2                           1.43.4-2+deb9u1                    deb   CVE-2019-5094     Medium      0.3% (55th)    0.2           
libss2                   1.43.4-2                           1.43.4-2+deb9u1                    deb   CVE-2019-5094     Medium      0.3% (55th)    0.2           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2017-8872     Critical    0.2% (40th)    0.2           
dirmngr                  2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-1000858  High        0.2% (44th)    0.2           
gnupg                    2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-1000858  High        0.2% (44th)    0.2           
gnupg-agent              2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-1000858  High        0.2% (44th)    0.2           
gpgv                     2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-1000858  High        0.2% (44th)    0.2           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u4             deb   CVE-2021-3518     High        0.2% (43rd)    0.2           
libp11-kit0              0.23.3-2                           0.23.3-2+deb9u1                    deb   CVE-2020-29361    High        0.2% (43rd)    0.2           
libgdk-pixbuf2.0-0       2.36.5-2+deb9u2                    (won't fix)                        deb   CVE-2017-2870     Negligible  3.1% (86th)    0.2           
libgdk-pixbuf2.0-common  2.36.5-2+deb9u2                    (won't fix)                        deb   CVE-2017-2870     Negligible  3.1% (86th)    0.2           
libssl1.0.2              1.0.2u-1~deb9u1                    1.0.2u-1~deb9u3                    deb   CVE-2020-1971     Medium      0.3% (53rd)    0.2           
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u2                    deb   CVE-2020-1971     Medium      0.3% (53rd)    0.2           
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u2                    deb   CVE-2020-1971     Medium      0.3% (53rd)    0.2           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-22825    High        0.2% (42nd)    0.2           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-22826    High        0.2% (42nd)    0.2           
libcairo2                1.14.8-1                           (won't fix)                        deb   CVE-2018-18064    Low         0.5% (65th)    0.2           
perl-base                5.24.1-3+deb9u5                    5.24.1-3+deb9u7                    deb   CVE-2020-12723    High        0.2% (42nd)    0.2           
gcc-6-base               6.3.0-18+deb9u1                    (won't fix)                        deb   CVE-2018-12886    High        0.2% (41st)    0.1           
libgcc1                  1:6.3.0-18+deb9u1                  (won't fix)                        deb   CVE-2018-12886    High        0.2% (41st)    0.1           
libstdc++6               6.3.0-18+deb9u1                    (won't fix)                        deb   CVE-2018-12886    High        0.2% (41st)    0.1           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4                                                  deb   CVE-2017-17740    Negligible  2.8% (85th)    0.1           
libldap-common           2.4.44+dfsg-5+deb9u4                                                  deb   CVE-2017-17740    Negligible  2.8% (85th)    0.1           
libgraphite2-3           1.3.10-1                           (won't fix)                        deb   CVE-2018-7999     High        0.2% (40th)    0.1           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2020-13630    High        0.2% (39th)    0.1           
libsystemd0              232-25+deb9u12                     (won't fix)                        deb   CVE-2019-3844     High        0.2% (39th)    0.1           
libudev1                 232-25+deb9u12                     (won't fix)                        deb   CVE-2019-3844     High        0.2% (39th)    0.1           
libpng16-16              1.6.28-1+deb9u1                                                       deb   CVE-2018-14550    Negligible  2.6% (85th)    0.1           
libsqlite3-0             3.16.2-5+deb9u1                    (won't fix)                        deb   CVE-2021-45346    Medium      0.2% (47th)    0.1           
liblz4-1                 0.0~r131-2+b1                      0.0~r131-2+deb9u1                  deb   CVE-2021-3520     Critical    0.1% (33rd)    0.1           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2017-12132    Medium      0.2% (47th)    0.1           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2017-12132    Medium      0.2% (47th)    0.1           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2017-12132    Medium      0.2% (47th)    0.1           
bsdutils                 1:2.29.2-1+deb9u1                  (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
libblkid1                2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
libfdisk1                2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
libmount1                2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
libsmartcols1            2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
libuuid1                 2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
mount                    2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
util-linux               2.29.2-1+deb9u1                    (won't fix)                        deb   CVE-2016-2779     High        0.2% (37th)    0.1           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2019-19956    High        0.2% (37th)    0.1           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-33574    Critical    0.1% (33rd)    0.1           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-33574    Critical    0.1% (33rd)    0.1           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-33574    Critical    0.1% (33rd)    0.1           
libx11-6                 2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u3                   deb   CVE-2020-14363    High        0.1% (36th)    0.1           
libx11-data              2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u3                   deb   CVE-2020-14363    High        0.1% (36th)    0.1           
libx11-xcb1              2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u3                   deb   CVE-2020-14363    High        0.1% (36th)    0.1           
perl-base                5.24.1-3+deb9u5                    5.24.1-3+deb9u7                    deb   CVE-2020-10878    High        0.1% (36th)    0.1           
libfreetype6             2.6.3-3.2+deb9u1                   (won't fix)                        deb   CVE-2022-27406    High        0.1% (35th)    0.1           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-1752     High        0.1% (35th)    0.1           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-1752     High        0.1% (35th)    0.1           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-1752     High        0.1% (35th)    0.1           
libfreetype6             2.6.3-3.2+deb9u1                   (won't fix)                        deb   CVE-2022-27404    Critical    0.1% (31st)    0.1           
libsystemd0              232-25+deb9u12                     (won't fix)                        deb   CVE-2019-3843     High        0.1% (34th)    0.1           
libudev1                 232-25+deb9u12                     (won't fix)                        deb   CVE-2019-3843     High        0.1% (34th)    0.1           
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2014-8130     Negligible  2.1% (83rd)    0.1           
libcairo2                1.14.8-1                           (won't fix)                        deb   CVE-2017-7475     Low         0.3% (56th)    0.1           
libssl1.1                1.1.0l-1~deb9u1                    (won't fix)                        deb   CVE-2021-4160     Medium      0.2% (42nd)    0.1           
openssl                  1.1.0l-1~deb9u1                    (won't fix)                        deb   CVE-2021-4160     Medium      0.2% (42nd)    0.1           
apt                      1.4.9                              1.4.11                             deb   CVE-2020-27350    Medium      0.2% (42nd)    < 0.1         
libapt-pkg5.0            1.4.9                              1.4.11                             deb   CVE-2020-27350    Medium      0.2% (42nd)    < 0.1         
libgnutls30              3.5.8-5+deb9u4                     (won't fix)                        deb   CVE-2021-4209     Medium      0.2% (39th)    < 0.1         
libavahi-client3         0.6.32-2                                                              deb   CVE-2017-6519     Negligible  1.9% (82nd)    < 0.1         
libavahi-common-data     0.6.32-2                                                              deb   CVE-2017-6519     Negligible  1.9% (82nd)    < 0.1         
libavahi-common3         0.6.32-2                                                              deb   CVE-2017-6519     Negligible  1.9% (82nd)    < 0.1         
libc-bin                 2.24-11+deb9u4                                                        deb   CVE-2018-20796    Negligible  1.8% (82nd)    < 0.1         
libc6                    2.24-11+deb9u4                                                        deb   CVE-2018-20796    Negligible  1.8% (82nd)    < 0.1         
multiarch-support        2.24-11+deb9u4                                                        deb   CVE-2018-20796    Negligible  1.8% (82nd)    < 0.1         
libldap-2.4-2            2.4.44+dfsg-5+deb9u4                                                  deb   CVE-2015-3276     Negligible  1.8% (82nd)    < 0.1         
libldap-common           2.4.44+dfsg-5+deb9u4                                                  deb   CVE-2015-3276     Negligible  1.8% (82nd)    < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2017-16232    Negligible  1.7% (81st)    < 0.1         
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-32208    Medium      0.2% (37th)    < 0.1         
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-32208    Medium      0.2% (37th)    < 0.1         
libncurses5              6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2018-19211    Low         0.3% (50th)    < 0.1         
libncursesw5             6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2018-19211    Low         0.3% (50th)    < 0.1         
libtinfo5                6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2018-19211    Low         0.3% (50th)    < 0.1         
ncurses-base             6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2018-19211    Low         0.3% (50th)    < 0.1         
ncurses-bin              6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2018-19211    Low         0.3% (50th)    < 0.1         
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u12                   deb   CVE-2020-8231     High        0.1% (30th)    < 0.1         
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u12                   deb   CVE-2020-8231     High        0.1% (30th)    < 0.1         
libsystemd0              232-25+deb9u12                     232-25+deb9u14                     deb   CVE-2020-1712     High        0.1% (29th)    < 0.1         
libudev1                 232-25+deb9u12                     232-25+deb9u14                     deb   CVE-2020-1712     High        0.1% (29th)    < 0.1         
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u16                   deb   CVE-2021-22947    Medium      0.2% (37th)    < 0.1         
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u16                   deb   CVE-2021-22947    Medium      0.2% (37th)    < 0.1         
tar                      1.29b-1.1                                                             deb   CVE-2005-2541     Negligible  1.6% (80th)    < 0.1         
apt                      1.4.9                                                                 deb   CVE-2011-3374     Negligible  1.6% (80th)    < 0.1         
libapt-pkg5.0            1.4.9                                                                 deb   CVE-2011-3374     Negligible  1.6% (80th)    < 0.1         
libhogweed4              3.3-1+b2                           (won't fix)                        deb   CVE-2018-16869    Medium      0.2% (36th)    < 0.1         
libnettle6               3.3-1+b2                           (won't fix)                        deb   CVE-2018-16869    Medium      0.2% (36th)    < 0.1         
libpcre3                 2:8.39-3                           (won't fix)                        deb   CVE-2020-14155    Medium      0.2% (36th)    < 0.1         
libcairo2                1.14.8-1                           1.14.8-1+deb9u1                    deb   CVE-2020-35492    High        < 0.1% (27th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2019-6128     Negligible  1.4% (79th)    < 0.1         
libcups2                 2.2.1-8+deb9u5                     2.2.1-8+deb9u6                     deb   CVE-2020-3898     High        < 0.1% (26th)  < 0.1         
zlib1g                   1:1.2.8.dfsg-5                     1:1.2.8.dfsg-5+deb9u1              deb   CVE-2018-25032    High        < 0.1% (26th)  < 0.1         
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u5                     deb   CVE-2022-25313    Medium      0.1% (34th)    < 0.1         
libfreetype6             2.6.3-3.2+deb9u1                   (won't fix)                        deb   CVE-2022-27405    High        < 0.1% (26th)  < 0.1         
libcairo2                1.14.8-1                           (won't fix)                        deb   CVE-2017-9814     Low         0.2% (44th)    < 0.1         
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u4             deb   CVE-2021-3537     Medium      0.1% (32nd)    < 0.1         
erlang-asn1              1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-base              1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-corba             1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-crypto            1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-diameter          1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-edoc              1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-eldap             1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-erl-docgen        1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-eunit             1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-ic                1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-inets             1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-mnesia            1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-nox               1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-odbc              1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-os-mon            1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-parsetools        1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-percept           1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-public-key        1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-reltool           1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-runtime-tools     1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-snmp              1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-ssh               1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-ssl               1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-syntax-tools      1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-tools             1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-wx                1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
erlang-xmerl             1:19.2.1+dfsg-2+deb9u2             1:19.2.1+dfsg-2+deb9u3             deb   CVE-2020-12872    Medium      0.1% (32nd)    < 0.1         
libicu57                 57.1-6+deb9u4                      57.1-6+deb9u5                      deb   CVE-2020-21913    Medium      0.1% (31st)    < 0.1         
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u4             deb   CVE-2021-3517     High        < 0.1% (23rd)  < 0.1         
login                    1:4.4-4.1                          (won't fix)                        deb   CVE-2018-7169     Low         0.2% (40th)    < 0.1         
passwd                   1:4.4-4.1                          (won't fix)                        deb   CVE-2018-7169     Low         0.2% (40th)    < 0.1         
libgdk-pixbuf2.0-0       2.36.5-2+deb9u2                    (won't fix)                        deb   CVE-2017-6311     Negligible  1.1% (76th)    < 0.1         
libgdk-pixbuf2.0-common  2.36.5-2+deb9u2                    (won't fix)                        deb   CVE-2017-6311     Negligible  1.1% (76th)    < 0.1         
libcups2                 2.2.1-8+deb9u5                     2.2.1-8+deb9u6                     deb   CVE-2019-8842     Low         0.2% (38th)    < 0.1         
libsystemd0              232-25+deb9u12                     (won't fix)                        deb   CVE-2018-16888    Low         0.2% (38th)    < 0.1         
libudev1                 232-25+deb9u12                     (won't fix)                        deb   CVE-2018-16888    Low         0.2% (38th)    < 0.1         
dirmngr                  2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-9234     Low         0.2% (38th)    < 0.1         
gnupg                    2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-9234     Low         0.2% (38th)    < 0.1         
gnupg-agent              2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-9234     Low         0.2% (38th)    < 0.1         
gpgv                     2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2018-9234     Low         0.2% (38th)    < 0.1         
libcups2                 2.2.1-8+deb9u5                                                        deb   CVE-2014-8166     Negligible  1.0% (76th)    < 0.1         
libgcrypt20              1.7.6-2+deb9u3                     1.7.6-2+deb9u4                     deb   CVE-2021-40528    Medium      < 0.1% (27th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-2056     Medium      < 0.1% (25th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-2057     Medium      < 0.1% (25th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-2058     Medium      < 0.1% (25th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                     4.0.8-2+deb9u8                     deb   CVE-2022-0561     Medium      < 0.1% (27th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-1622     Medium      < 0.1% (27th)  < 0.1         
libcups2                 2.2.1-8+deb9u5                     2.2.1-8+deb9u7                     deb   CVE-2020-10001    Medium      < 0.1% (26th)  < 0.1         
libsystemd0              232-25+deb9u12                     232-25+deb9u13                     deb   CVE-2021-33910    Medium      < 0.1% (26th)  < 0.1         
libudev1                 232-25+deb9u12                     232-25+deb9u13                     deb   CVE-2021-33910    Medium      < 0.1% (26th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-1623     Medium      < 0.1% (26th)  < 0.1         
login                    1:4.4-4.1                          1:4.4-4.1+deb9u1                   deb   CVE-2017-20002    High        < 0.1% (18th)  < 0.1         
passwd                   1:4.4-4.1                          1:4.4-4.1+deb9u1                   deb   CVE-2017-20002    High        < 0.1% (18th)  < 0.1         
libncurses5              6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2022-29458    High        < 0.1% (18th)  < 0.1         
libncursesw5             6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2022-29458    High        < 0.1% (18th)  < 0.1         
libtinfo5                6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2022-29458    High        < 0.1% (18th)  < 0.1         
ncurses-base             6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2022-29458    High        < 0.1% (18th)  < 0.1         
ncurses-bin              6.0+20161126-1+deb9u2              (won't fix)                        deb   CVE-2022-29458    High        < 0.1% (18th)  < 0.1         
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u16                   deb   CVE-2021-22946    High        < 0.1% (18th)  < 0.1         
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u16                   deb   CVE-2021-22946    High        < 0.1% (18th)  < 0.1         
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u15                   deb   CVE-2021-22898    Low         0.1% (35th)    < 0.1         
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u15                   deb   CVE-2021-22898    Low         0.1% (35th)    < 0.1         
libtiff5                 4.0.8-2+deb9u5                     4.0.8-2+deb9u8                     deb   CVE-2022-22844    Medium      < 0.1% (25th)  < 0.1         
libp11-kit0              0.23.3-2                           0.23.3-2+deb9u1                    deb   CVE-2020-29362    Medium      < 0.1% (25th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-0924     Medium      < 0.1% (25th)  < 0.1         
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-27781    High        < 0.1% (16th)  < 0.1         
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-27781    High        < 0.1% (16th)  < 0.1         
libcairo2                1.14.8-1                           (won't fix)                        deb   CVE-2019-6461     Low         0.1% (33rd)    < 0.1         
libcairo2                1.14.8-1                           (won't fix)                        deb   CVE-2019-6462     Low         0.1% (33rd)    < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-0891     High        < 0.1% (15th)  < 0.1         
libpng16-16              1.6.28-1+deb9u1                                                       deb   CVE-2018-14048    Negligible  0.8% (72nd)    < 0.1         
libharfbuzz0b            1.4.2-1                            (won't fix)                        deb   CVE-2022-33068    Medium      < 0.1% (23rd)  < 0.1         
libc-bin                 2.24-11+deb9u4                                                        deb   CVE-2019-1010023  Negligible  0.7% (71st)    < 0.1         
libc6                    2.24-11+deb9u4                                                        deb   CVE-2019-1010023  Negligible  0.7% (71st)    < 0.1         
multiarch-support        2.24-11+deb9u4                                                        deb   CVE-2019-1010023  Negligible  0.7% (71st)    < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-0907     Medium      < 0.1% (22nd)  < 0.1         
libjpeg62-turbo          1:1.5.1-2                                                             deb   CVE-2017-15232    Negligible  0.7% (71st)    < 0.1         
perl-base                5.24.1-3+deb9u5                    (won't fix)                        deb   CVE-2020-16156    High        < 0.1% (14th)  < 0.1         
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u6             deb   CVE-2022-23308    High        < 0.1% (13th)  < 0.1         
dirmngr                  2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2019-14855    Low         0.1% (30th)    < 0.1         
gnupg                    2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2019-14855    Low         0.1% (30th)    < 0.1         
gnupg-agent              2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2019-14855    Low         0.1% (30th)    < 0.1         
gpgv                     2.1.18-8~deb9u4                    (won't fix)                        deb   CVE-2019-14855    Low         0.1% (30th)    < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-0865     Medium      < 0.1% (21st)  < 0.1         
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u5             deb   CVE-2021-3541     Medium      < 0.1% (21st)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-0909     Medium      < 0.1% (20th)  < 0.1         
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2020-13632    Medium      < 0.1% (20th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-1355     Medium      < 0.1% (17th)  < 0.1         
libtiff5                 4.0.8-2+deb9u5                                                        deb   CVE-2022-1354     Medium      < 0.1% (18th)  < 0.1         
libx11-6                 2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u2                   deb   CVE-2020-14344    Medium      < 0.1% (18th)  < 0.1         
libx11-data              2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u2                   deb   CVE-2020-14344    Medium      < 0.1% (18th)  < 0.1         
libx11-xcb1              2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u2                   deb   CVE-2020-14344    Medium      < 0.1% (18th)  < 0.1         
libjpeg62-turbo          1:1.5.1-2                                                             deb   CVE-2021-46822    Medium      < 0.1% (18th)  < 0.1         
libhogweed4              3.3-1+b2                           3.3-1+deb9u1                       deb   CVE-2021-3580     High        < 0.1% (10th)  < 0.1         
